1444401730,sumneko/lua-language-server,2022-11-10,2022-05-10,6564,747
1449702890,truecharts/charts,2022-11-15,2022-05-15,4433,925
1458781974,rust-lang/rust,2022-11-22,2022-05-22,176315,12234
1461489700,laravel/framework,2022-11-23,2022-05-23,28843,224
1464916364,AdguardTeam/AdguardFilters,2022-11-25,2022-05-25,122339,13270
1465034831,Warzone2100/warzone2100,2022-11-26,2022-05-26,18228,529
1473837925,mate-desktop/caja,2022-12-03,2022-06-03,1701,19
1476730615,fastify/fastify,2022-12-05,2022-06-05,1875,8
1498285225,JuliaPlots/Plots.jl,2022-12-15,2022-06-15,4222,42
1500084349,zammad/zammad,2022-12-16,2022-06-16,12582,967
1524714133,EasyNetQ/EasyNetQ,2023-01-08,2022-07-08,1825,37
1530248637,rubygems/rubygems,2023-01-12,2022-07-12,21093,184
1616936787,ohmyzsh/ohmyzsh,2023-03-09,2022-09-09,5821,29
1636711509,tinymce/tinymce,2023-03-23,2022-09-23,24291,14
1656348603,doctrine/orm,2023-04-05,2022-10-05,11079,58
1656534314,mitmproxy/mitmproxy,2023-04-06,2022-10-06,9109,92
1659625133,doctrine/DoctrineFixturesBundle,2023-04-08,2022-10-08,156,3
1665591134,doctrine/orm,2023-04-13,2022-10-13,11080,58
1687989535,php/php-src,2023-04-28,2022-10-28,126750,820
1843328693,doctrine/orm,2023-08-09,2023-02-09,11106,35
1863541325,doctrine/migrations,2023-08-23,2023-02-23,988,1
1897778633,FreeRADIUS/freeradius-server,2023-09-15,2023-03-15,23808,111
1906791437,mozilla/pdf.js,2023-09-21,2023-03-21,14148,460
1943190932,php/php-src,2023-10-14,2023-04-14,127504,776
1958701035,composer/packagist,2023-10-24,2023-04-24,1702,0
1959812102,factor/factor,2023-10-24,2023-04-24,35146,638
2040759060,revanced/revanced-patches,,,0,0
2044991706,revanced/revanced-patches,,,0,0
2044991710,revanced/revanced-patches,,,0,0
2044991734,revanced/revanced-patches,,,0,0
2044991737,revanced/revanced-patches,,,0,0
2044991743,revanced/revanced-patches,,,0,0
