id,issue_id,project_name,startDate,endDate,count_before,count_halfyear
202,843213515,MvvmCross/MvvmCross,2021-03-29T10:09:09Z,2022-05-28T16:31:34Z,7726,14
203,851350444,symfony/symfony,2021-04-06T11:56:40Z,2021-04-06T15:47:27Z,50922,2610
204,855420175,jquery/jquery,2021-04-11T22:12:41Z,2021-04-12T14:56:42Z,5947,
205,857092857,binogure-studio/city-game-studio-i18n,2021-04-13T15:45:52Z,2021-04-17T12:09:53Z,233,43
206,869840472,GoldenCheetah/GoldenCheetah,2021-04-28T11:28:04Z,2021-04-28T14:28:51Z,9206,129
207,877864027,nodejs/node,2021-05-06T18:48:22Z,2022-06-03T15:38:29Z,25719,911
208,891698219,doctrine/orm,2021-05-14T07:46:20Z,2023-06-06T13:08:31Z,5818,24
209,894598837,Leaflet/Leaflet,2021-05-18T17:09:04Z,2021-05-19T22:57:35Z,6428,
210,896726233,Leaflet/Leaflet,2021-05-20T12:08:13Z,2021-05-25T21:31:08Z,6428,
211,900635226,hashicorp/terraform,2021-05-25T10:52:11Z,2022-03-18T19:33:28Z,23183,555
212,900662967,SubnauticaNitrox/Nitrox,2021-05-25T11:16:24Z,2021-08-30T12:36:07Z,813,13
213,902425731,frappe/erpnext,2021-05-26T13:51:11Z,2021-09-01T12:11:14Z,28811,1310
214,904754673,rust-lang/rust,2021-05-28T05:45:46Z,2021-05-29T01:06:40Z,140876,10233
215,906427489,libretro/RetroArch,2021-05-29T09:22:58Z,2022-09-01T23:26:58Z,42910,976
216,907232677,zeromq/libzmq,2021-05-31T08:24:44Z,2023-06-06T13:00:13Z,6761,46
217,908088395,pandas-dev/pandas,2021-06-01T09:18:51Z,2021-06-03T07:38:43Z,19534,4
218,914128991,PCSX2/pcsx2,2021-06-08T01:13:24Z,2021-12-21T01:10:33Z,6894,726
219,917355114,matplotlib/matplotlib,2021-06-10T13:35:27Z,2021-06-11T20:25:19Z,29891,1009
220,936567326,joncampbell123/dosbox-x,2021-07-05T00:03:02Z,2021-07-11T01:04:15Z,12884,1189
221,941489296,mozilla/sccache,2021-07-11T16:33:44Z,2022-05-04T20:38:01Z,1051,30
222,951429255,rustdesk/rustdesk,2021-07-23T09:56:00Z,2022-06-04T06:03:14Z,76,76
223,952956841,SevenTV/chatterino7,2021-07-26T14:18:27Z,2021-08-04T13:49:13Z,2547,29
224,963088392,PyCQA/pycodestyle,2021-08-06T22:49:24Z,2021-08-06T22:54:26Z,1078,16
225,976125179,znc/znc,2021-08-21T12:22:15Z,2021-08-23T15:58:22Z,2960,22
226,978528716,Python-Markdown/markdown,2021-08-24T22:17:41Z,2021-08-27T18:29:19Z,666,11
227,980057113,WordPress/gutenberg,2021-08-26T09:56:38Z,2022-01-27T05:12:22Z,7378,176
228,985432324,doctrine/orm,2021-09-01T17:54:07Z,2021-09-01T19:17:38Z,5852,50
229,985447779,symfony/symfony,2021-09-01T18:09:25Z,2021-09-01T19:14:03Z,53373,2857
230,986045665,psf/requests,2021-09-02T03:20:46Z,2021-09-02T03:20:46Z,3024,3
231,993768928,curl/curl,2021-09-11T06:58:54Z,2021-09-12T01:06:43Z,22321,95
232,997299420,libretro/RetroArch,2021-09-15T16:49:31Z,2022-05-08T15:02:51Z,43344,881
233,1004915962,JodaOrg/joda-time,2021-09-23T01:21:39Z,2022-08-16T09:23:39Z,2094,2
234,1011467346,Python-Markdown/markdown,2021-09-29T21:36:10Z,2021-12-27T18:37:27Z,666,9
235,1013314736,ruby/www.ruby-lang.org,2021-10-01T12:58:51Z,2021-10-04T04:08:46Z,5806,41
236,1014671924,ohmyzsh/ohmyzsh,2021-10-04T03:00:08Z,2021-10-04T09:06:02Z,5056,89
237,1026512862,SudhanPlayz/Discord-MusicBot,2021-10-14T15:05:56Z,2022-07-13T08:58:17Z,36,29
238,1027933041,flatpak/xdg-desktop-portal,2021-10-16T02:58:26Z,2023-04-21T17:16:32Z,465,44
239,1034748634,JodaOrg/joda-time,2021-10-25T06:55:34Z,2021-10-25T09:36:47Z,2096,3
240,1034782242,JodaOrg/joda-time,2021-10-25T07:35:11Z,2021-10-26T14:35:39Z,2096,3
241,1034926389,JodaOrg/joda-time,2021-10-25T09:59:21Z,2021-10-26T14:37:47Z,2096,3
242,1034930502,JodaOrg/joda-time,2021-10-25T10:03:03Z,2021-10-26T14:38:25Z,2096,3
243,1036757791,PowerDNS-Admin/PowerDNS-Admin,2021-10-26T21:28:04Z,2022-02-23T18:52:34Z,665,19
244,1043368759,EbookFoundation/free-programming-books,2021-11-03T10:28:56Z,2022-02-15T16:31:34Z,4760,1
245,1047632192,microsoft/winget-cli,2021-11-08T16:08:38Z,2021-11-29T15:23:56Z,16,
246,1058585621,oven-sh/bun,2021-11-19T14:23:51Z,2022-08-04T17:16:49Z,1112,989
247,1060667929,IntellectualSites/PlotSquared,2021-11-22T22:53:45Z,2022-01-26T16:31:26Z,3601,24
248,1072125460,libretro/RetroArch,2021-12-06T13:02:30Z,2022-12-20T08:33:08Z,43766,832
249,1072818585,scikit-learn/scikit-learn,2021-12-07T01:40:53Z,2021-12-20T18:03:28Z,22678,18
250,1075227076,google/glog,2021-12-09T07:08:17Z,2021-12-09T08:26:13Z,513,59
251,1075975020,James-Yu/LaTeX-Workshop,2021-12-09T20:22:11Z,2022-01-20T09:06:26Z,3494,274
252,1077325481,tailscale/tailscale,2021-12-11T00:08:19Z,2022-01-05T23:24:43Z,3320,889
253,1084937435,JuliaLang/julia,2021-12-20T15:46:13Z,2021-12-20T15:56:11Z,42824,110
254,1086819542,dresden-elektronik/deconz-rest-plugin,2021-12-22T13:23:57Z,2021-12-30T19:29:44Z,4829,344
255,1087047886,npm/cli,2021-12-22T17:43:16Z,2021-12-22T17:58:22Z,9286,2
256,1087972186,doitsujin/dxvk,2021-12-23T20:20:27Z,2022-01-14T14:47:14Z,1467,145
257,1089763044,LGBT-CN/LGBTQIA-In-China,2021-12-28T10:08:10Z,2022-03-11T22:10:48Z,90,28
258,1090473508,James-Yu/LaTeX-Workshop,2021-12-29T12:02:32Z,2021-12-29T12:02:32Z,3521,272
259,1090475055,James-Yu/LaTeX-Workshop,2021-12-29T12:05:11Z,2021-12-29T12:05:11Z,3521,272
260,1092238495,opnsense/core,2022-01-03T05:31:54Z,2022-02-03T05:16:32Z,13086,440
261,1093353244,James-Yu/LaTeX-Workshop,2022-01-04T13:24:46Z,2022-01-04T13:24:46Z,3532,268
262,1093916422,James-Yu/LaTeX-Workshop,2022-01-05T02:23:46Z,2022-01-05T08:51:05Z,3533,266
263,1096297382,NickeManarin/ScreenToGif,2022-01-07T13:00:53Z,2022-01-31T03:58:31Z,912,95
264,1097100861,electron/electron-rebuild,2022-01-09T04:14:06Z,2022-01-09T16:57:03Z,573,116
265,1097421627,James-Yu/LaTeX-Workshop,2022-01-10T03:34:13Z,2022-01-22T05:05:55Z,3549,277
266,1100051808,restsharp/RestSharp,2022-01-12T08:52:16Z,2022-11-19T14:40:23Z,1548,63
